Tom Jobim
João Gilberto
Chico Buarque
Caetano Veloso
Jorge Ben Jor
Roberto Carlos 
Noel Rosa 
Cartola
Tim Maia 
Gilberto Gil
Dorival Caymmi
Pixinguinha
Luiz Gonzaga
Elis Regina
Rita Lee 
Chico Science 
Paulinho da Viola
Vinicius de Moraes
Raul Seixas
Milton Nascimento 
Arnaldo Baptista 
Maria Bethânia
Heitor Villa-Lobos
Rogério Duprat
Renato Russo 
Baden Powell
Gal Costa
Mano Brown 
Ary Barroso
Hermeto Pascoal
Ney Matogrosso 
Tom Zé
João Donato
Cazuza 
Carmen Miranda
Moacir Santos
Erasmo Carlos
Wilson Simonal
Nelson Cavaquinho
Cássia Eller
Zé Ramalho
Itamar Assumpção
Marisa Monte 
Nara Leão
Luiz Melodia
Lulu Santos 
Max Cavalera 
Adoniran Barbosa
Jackson do Pandeiro
Marcos Valle
Clara Nunes
Sérgio Mendes
Mário Reis
Braguinha 
Elizeth Cardoso
Edu Lobo
Moraes Moreira 
Alceu Valença
Martinho da Vila
Nelson Gonçalves
Maysa
Naná Vasconcelos
João Bosco
Lobão 
Jacob do Bandolim
Eumir Deodato
Orlando Silva
Lupicínio Rodrigues
Otília Amorim
Egberto Gismonti
Lô Borges 
Marcelo Camelo 
Marcelo D2 
Odair José
Lanny Gordin
Johnny Alf
Dolores Duran
Jards Macalé
Arrigo Barnabé
Djavan
Lenine
Zeca Pagodinho
Herbert Vianna 
Rodrigo Amarante 
Fred Zero Quatro 
Lamartine Babo
Radamés Gnattali
Francisco Alves
Ismael Silva
Jamelão
Aracy de Almeida
Julio Barroso 
Guilherme Arantes
Marina Lima
Arnaldo Antunes 
Daniela Mercury
Nando Reis
Edgard Scandurra 
Liminha 
Belchior
